backend,request_batch,miss_rate,n_reads,io_size,queue_depth,round,submit_us,completion_us,bytes_read,correct,direct_path,error,phase,submission_group
Tutti-v0.1.1,1,0.134,274,4096,256,1,555.916,1316.498,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,2,550.926,1305.342,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,3,574.654,1344.016,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,4,558.153,1316.909,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,5,596.583,1349.682,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,6,553.765,1348.214,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,7,538.497,1296.773,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,8,563.265,1337.425,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,9,563.84,1319.031,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,10,606.329,1367.278,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,11,558.01,1319.223,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,12,557.492,1348.578,1122304,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.134,274,4096,256,13,551.525,1318.108,1122304,true,public_local_nvme_gpu,,1,16
